ID,Tier,Region,Jurisdiction / Institution,Institution,Document Title,Document Type,Publication Date,Source URL,Stance,Disclosure,Discretion,Focus (Primary),Focus (Secondary),Enforcement,Coverage,Key Quote (verbatim),Coder Notes,Coder,Date Coded,Stance #,Tier #,Governance Domain
NYC-001,National/Federal,NYC,US Federal (White House),,National Policy Framework for Artificial Intelligence,Executive Order,12/20/2026,https://www.whitehouse.gov/wp-content/uploads/2026/03/03.20.26-National-Policy-Framework-for-Artificial-Intelligence-Legislative-Recommendations.pdf,Functional,Not specified,Gov-mandated,Professional Readiness,AI Literacy,Guidance only,Whole community,"“The federal government must establish a federal AI policy framework to protect American rights, support innovation, and prevent a fragmented patchwork of state regulations.”",,EY,05/15,2,1,External
NYC-002,National/Federal,NYC,US Federal (White House),,"Executive Order: Eliminating State Law Obstruction of National AI Policy
",Executive Order,11/12/2025,https://www.whitehouse.gov/presidential-actions/2025/12/eliminating-state-law-obstruction-of-national-artificial-intelligence-policy/,Encouraging,Not specified,Gov-mandated,Professional Readiness,AI Literacy,Guidance only,Whole community, It is the policy of the United States to sustain and enhance the United States’ global AI dominance through a minimally burdensome national policy framework for AI. ,,EY,05/15,3,1,External
NYC-003,National/Federal,NYC,ACUS (Administrative Conference of the United States),,ACUS Policy on Use of Generative AI ,Law/Regulation,10/12/2025,https://www.acus.gov/sites/default/files/documents/ACUS_Policy_on_Use_of_GenAI-20251210.pdf,Cautious,Required,Gov-mandated,Privacy/Data/Ethics,Academic Integrity,Referenced to integrity code,Whole community,Federal employees must disclose GenAI use and must not input sensitive or confidential information into public AI tools,,EY,05/15,1,1,External
NYC-004,National/Federal,NYC,US Federal (White House),,Advancing Artificial Intelligence Education for American Youth ,Executive Order,4/23/2025,https://www.whitehouse.gov/presidential-actions/2025/04/advancing-artificial-intelligence-education-for-american-youth/,Encouraging,Not specified,Gov-mandated,Professional Readiness,Pedagogy/Learning,Guidance only,Whole community,"“It is the policy of the United States to promote AI literacy and proficiency among Americans by promoting the appropriate integration of AI into education, providing comprehensive AI training for educators, and fostering early exposure to AI concepts and technology to develop an AI-ready workforce and the next generation of American AI innovators.”",,EY,05/15,3,1,External
NYC-005,National/Federal,NYC,US Federal (White House),,Ensuring a National Policy Framework for AI ,Executive Order,12/11/2025,https://www.whitehouse.gov/presidential-actions/2025/12/eliminating-state-law-obstruction-of-national-artificial-intelligence-policy/,Encouraging,Not specified,Gov-mandated,Professional Readiness,Privacy/Data/Ethics,Explicit penalties,Whole community,“United States AI companies must be free to innovate without cumbersome regulation.”,,EY,05/15,3,1,External
NYC-006,City/Territory,NYC,NYC — Office of Technology and Innovation (OTI),OTI,NYC Use Guidance: Generative Artificial Intelligence,Official Guidance,30/2/2025,https://www.nyc.gov/assets/oti/downloads/pdf/New-York-City-Generative-AI-Use-Guidance.pdf,Cautious,Required,Gov-mandated,Privacy/Data/Ethics,AI Literacy,Guidance only,Whole community,"""The City is committed to a responsible approach to emerging technologies. This Use Guidance provides a framework for the responsible use of GenAI by City personnel, aligned with the City’s AI Principles, and applicable laws and policies.""",,EY,,1,2,External
NYC-007,City/Territory,NYC,"New York City — Office of Technology and Innovation (OTI), Strategic Initiatives Division",OTI,Preliminary Use Guidance: Generative Artificial Intelligence,Official Guidance,3/1/2024,https://www.nyc.gov/assets/oti/downloads/pdf/about/preliminary-use-guidance-general-artificial-intelligence.pdf,Cautious,Required,Gov-mandated,Privacy/Data/Ethics,AI Literacy,Referenced to integrity code,Whole community,"In order to support critical engagement by end users and maintain public trust in city government, it is best practice to proactively disclose the use of Generative AI in all contexts",,EY,,1,2,External
NYC-008,City/Territory,NYC,NYC Office of Technology and Innovation,OTI,NYC Artificial Intelligence Action Plan,Official Guidance,,https://www.nyc.gov/assets/oti/downloads/pdf/reports/artificial-intelligence-action-plan.pdf,Cautious,Not specified,Gov-mandated,Privacy/Data/Ethics,AI Literacy,Guidance only,Whole community,"“The NYC AI Action Plan introduces seven new initiatives… toward harnessing the power of AI to deliver positive outcomes for New Yorkers, while carefully mitigating the risks these technologies present.”",,EY,,1,2,External
NYC-009,City/Territory,NYC,NYC Office of Technology and Innovation,OTI,NYC AI Action Plan Annual Progress Report - 2025,Other,10/16/2025,https://www.nyc.gov/assets/oti/downloads/pdf/AI-Action-Plan-Progress-Report-Year-2.pdf,Cautious,Not specified,Gov-mandated,Privacy/Data/Ethics,AI Literacy,None stated,Whole community,"“The Action Plan included 37 actions across seven initiatives focused on supporting city agencies’ efforts to understand and use AI tools, fostering appropriate governance across the city…”",,EY,,1,2,External
NYC-010,City/Territory,NYC,NYC Public Schools,NYCPS,NYC Public Schools (NYCPS) AI Guidance,Other,3/1/2026,https://www.schools.nyc.gov/about-us/vision-and-mission/artificial-intelligence/guidance-on-artificial-intelligence-full,Cautious,Required,Hybrid,AI Literacy,Pedagogy/Learning,Referenced to integrity code,Whole community,"“The NYCPS Traffic Light Approach… establishes when AI use is prohibited, when AI use requires careful consideration and judgment, and when AI is approved for use.”",,EY,,1,2,External
